Running HashTableTest
********************************************
Array_Length: 1024 Distribution: 0 Uniq: 1.000000 Order: 0 CopiedElements: 1.000000 blocksLength: 8
********************************************
4711,242
489,114
2095,144
316,115
242,113
785,96
262,116
267,96
213,129
212,98
287,113
671,96
245,114
227,114
230,113
240,113
219,113
218,98
204,121
2906,121
312,123
220,115
231,97
1156,117
251,116
241,98
235,112
188,114
268,98
204,97
188,113
190,112
272,111
248,115
240,111
221,97
210,96
191,119
258,113
191,99
339,95
266,97
235,112
205,112
190,121
243,114
222,115
1321,115
227,113
227,99
295,113
226,113
231,113
227,113
207,114
297,99
205,115
243,98
231,99
240,97
287,115
240,113
226,120
205,114
222,97
204,113
189,96
295,114
203,115
242,113
235,112
188,115
219,113
246,98
205,114
221,97
203,97
207,98
204,97
275,98
205,95
220,114
204,114
188,116
319,97
204,98
190,96
189,115
190,113
185,96
2666,112
322,113
233,115
232,99
288,114
206,113
296,114
4942,114
352,111
286,113
243,98
226,113
226,97
268,112
334,96
250,96
263,112
235,114
234,97
215,112
243,97
235,111
267,97
281,112
262,115
223,114
223,113
289,113
206,114
211,97
296,97
215,97
242,97
209,114
206,115
250,98
205,118
233,112
210,113
205,95
297,112
258,112
215,113
230,114
204,113
205,116
188,113
231,113
263,113
206,112
232,95
208,113
188,113
188,113
187,120
187,112
192,118
189,112
232,96
189,113
186,111
231,96
221,109
187,96
261,114
247,95
210,115
219,95
204,111
214,97
187,112
191,111
219,97
186,121
327,96
226,96
240,112
205,96
205,112
252,94
210,111
205,113
260,97
209,113
206,97
204,111
206,114
208,97
206,112
202,112
205,96
204,111
249,114
203,96
190,111
221,112
213,98
231,113
188,95
247,115
201,110
230,98
2641,96
276,112
227,113
236,114
231,98
7174,98
284,95
248,100
277,97
204,114
223,112
204,114
232,113
250,115
191,114
188,96
188,95
187,112
218,112
186,113
195,95
190,115
221,115
190,95
231,113
189,97
217,96
231,97
248,111
218,113
215,113
223,113
234,96
226,98
206,98
250,98
204,114
188,96
190,97
220,114
252,97
206,97
202,115
187,113
188,97
186,113
221,112
188,113
186,98
248,115
189,95
189,96
222,115
276,96
221,110
206,97
276,111
232,115
221,98
214,98
204,115
220,98
213,97
225,114
265,112
233,98
188,113
189,96
261,98
202,96
242,96
203,113
185,96
253,96
270,97
208,111
203,97
221,112
207,96
188,114
256,113
211,98
213,96
206,96
215,113
2707,98
274,115
284,113
271,98
214,95
206,114
194,111
228,99
211,97
210,94
242,97
205,113
233,98
220,96
204,114
208,97
268,96
224,96
210,98
211,98
222,112
258,114
208,113
202,112
242,95
234,112
243,114
212,112
223,95
214,113
207,113
331,113
209,113
212,114
209,113
209,97
209,112
299,98
207,99
205,113
204,98
208,111
210,114
266,112
244,96
206,112
225,96
224,113
208,113
240,97
208,113
206,111
224,114
221,112
254,114
212,98
208,114
208,114
228,112
244,113
219,97
210,112
270,95
205,113
225,97
206,95
204,112
205,97
318,99
204,95
190,115
185,96
191,113
187,111
203,97
219,97
222,99
230,115
213,114
233,112
208,96
203,96
247,97
207,97
204,96
2706,110
278,97
209,97
208,114
227,114
211,98
240,97
205,97
186,112
195,115
188,97
193,114
293,97
263,95
193,98
195,112
322,97
227,111
195,96
185,115
194,114
204,112
223,96
190,97
239,112
197,97
193,113
226,112
222,97
228,96
267,114
227,98
252,115
206,95
225,113
10517,100
305,115
193,115
245,114
253,114
214,111
209,112
203,113
200,96
205,97
224,96
207,111
207,112
205,95
191,97
191,98
219,95
203,114
280,96
205,112
276,96
208,97
220,97
206,96
186,96
189,114
188,114
196,115
189,115
231,97
217,114
202,115
221,99
193,114
189,113
235,96
188,97
263,112
263,114
191,98
230,96
187,114
252,113
188,112
187,112
220,113
188,113
200,97
191,112
190,112
225,112
3097,111
290,95
234,98
248,96
238,96
273,114
205,112
227,113
209,98
204,115
227,111
260,96
228,96
221,113
209,97
239,112
224,96
217,97
212,110
223,97
214,95
216,96
203,114
211,114
239,114
228,97
243,114
224,96
209,98
214,112
217,96
252,113
219,113
218,115
209,95
211,114
208,113
230,113
247,95
210,112
209,113
239,114
231,114
208,95
188,114
259,113
208,114
187,113
225,113
210,98
189,115
270,114
288,111
205,116
243,113
239,98
208,97
237,97
214,98
187,96
194,98
233,96
203,97
206,113
193,159
316,112
195,98
229,96
229,111
237,96
239,95
242,113
238,113
227,112
222,112
209,113
207,114
192,97
222,97
214,111
209,114
194,111
195,96
187,96
193,95
2618,96
251,114
196,115
191,116
240,96
230,114
229,114
210,115
192,114
187,97
236,97
231,115
187,114
216,114
192,111
189,95
237,97
228,111
191,98
192,113
225,97
205,95
199,112
194,113
232,97
213,112
242,97
226,112
286,113
208,114
192,97
188,112
193,97
185,114
230,97
222,112
189,114
195,113
190,97
187,115
263,113
251,114
217,113
229,111
229,114
241,96
215,114
205,95
227,112
208,113
193,97
228,98
225,97
283,113
229,97
261,115
243,111
315,114
206,95
210,96
219,97
210,97
206,97
208,114
269,97
226,116
224,96
236,96
204,97
290,115
230,113
265,114
210,110
224,97
224,112
209,97
300,98
204,112
246,113
260,97
219,113
215,114
206,112
211,97
207,96
2871,110
267,116
209,97
339,97
212,113
268,94
235,97
338,114
237,98
216,113
263,95
315,97
240,113
307,112
247,97
226,97
211,113
235,113
245,112
226,112
204,115
237,97
